Название пары,Текущая цена,Максимальная цена за сутки,Минимальная цена за сутки,Изменение цены за сутки,Изменение цены в процентах за сутки,Объем торгов за сутки
ETHBUSD,1508.17000000,1578.00000000,1486.00000000,-39.43000000,-2.548%,562420.70050000
BCHABCBUSD,220.16000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
LTCBUSD,54.18000000,56.47000000,53.51000000,-1.72000000,-3.077%,89143.80400000
LINKBUSD,6.97500000,7.23500000,6.83000000,-0.20500000,-2.855%,1560226.41000000
ETCBUSD,24.77000000,25.87000000,24.14000000,-0.39000000,-1.550%,503599.17000000
STXBNB,0.00105200,0.00109400,0.00103100,-0.00003900,-3.575%,142769.70000000
STXBTC,0.00001493,0.00001530,0.00001461,-0.00000034,-2.227%,828309.30000000
STXUSDT,0.30100000,0.31700000,0.29600000,-0.01400000,-4.444%,1947205.50000000
KAVABNB,0.00514000,0.00538000,0.00509000,-0.00024000,-4.461%,11695.20000000
KAVABTC,0.00007280,0.00007550,0.00007210,-0.00000230,-3.063%,183583.00000000
KAVAUSDT,1.47600000,1.55300000,1.45300000,-0.07500000,-4.836%,3526030.10000000
BUSDNGN,462.64000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
BNBNGN,43608.00000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
BTCNGN,25941597.00000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
ARPABNB,0.00011650,0.00012010,0.00011560,-0.00000330,-2.755%,923400.00000000
ARPABTC,0.00000164,0.00000168,0.00000164,-0.00000003,-1.796%,998162.00000000
ARPAUSDT,0.03337000,0.03468000,0.03302000,-0.00115000,-3.331%,28454093.10000000
TRXBUSD,0.06311000,0.06386000,0.06259000,-0.00039000,-0.614%,50242762.00000000
EOSBUSD,1.14800000,1.16300000,1.11400000,0.01400000,1.235%,1440150.20000000
IOTXUSDT,0.02794000,0.02875000,0.02741000,-0.00028000,-0.992%,72259329.00000000
RLCUSDT,1.03200000,1.10100000,1.02100000,-0.05800000,-5.321%,1149262.90000000
MCOUSDT,2.74400000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
XLMBUSD,0.11060000,0.11410000,0.10930000,-0.00290000,-2.555%,11725620.00000000
